handle,family,action,old_variant,new_variant,old_price,new_price,change
custom-soccer-patches,Embroidery,UPDATE,13.0 inch - 101-199,13.0 inch - 101-200,7.50,9.90,+32%
custom-soccer-patches,Embroidery,UPDATE,14.0 inch - 101-199,14.0 inch - 101-200,8.80,11.05,+26%
custom-soccer-patches,Embroidery,UPDATE,15.0 inch - 101-199,15.0 inch - 101-200,9.95,12.20,+23%
custom-soccer-patches,Embroidery,UPDATE,16.0 inch - 101-199,16.0 inch - 101-200,10.95,13.30,+21%
custom-soccer-patches,Embroidery,UPDATE,1.0 inch - 200-499,1.0 inch - 201-300,0.38,1.80,+374%
custom-soccer-patches,Embroidery,UPDATE,1.5 inch - 200-499,1.5 inch - 201-300,0.56,1.80,+221%
custom-soccer-patches,Embroidery,UPDATE,2.0 inch - 200-499,2.0 inch - 201-300,0.71,1.80,+154%
custom-soccer-patches,Embroidery,UPDATE,2.5 inch - 200-499,2.5 inch - 201-300,0.94,1.80,+91%
custom-soccer-patches,Embroidery,UPDATE,3.0 inch - 200-499,3.0 inch - 201-300,1.11,1.50,+35%
custom-soccer-patches,Embroidery,UPDATE,3.5 inch - 200-499,3.5 inch - 201-300,1.30,1.80,+38%
custom-soccer-patches,Embroidery,UPDATE,4.0 inch - 200-499,4.0 inch - 201-300,1.49,2.00,+34%
custom-soccer-patches,Embroidery,UPDATE,4.5 inch - 200-499,4.5 inch - 201-300,1.68,2.55,+52%
custom-soccer-patches,Embroidery,UPDATE,5.0 inch - 200-499,5.0 inch - 201-300,1.86,3.00,+61%
custom-soccer-patches,Embroidery,UPDATE,6.0 inch - 200-499,6.0 inch - 201-300,2.24,3.80,+70%
custom-soccer-patches,Embroidery,UPDATE,7.0 inch - 200-499,7.0 inch - 201-300,2.60,4.50,+73%
custom-soccer-patches,Embroidery,UPDATE,8.0 inch - 200-499,8.0 inch - 201-300,2.98,5.10,+71%
custom-soccer-patches,Embroidery,UPDATE,9.0 inch - 200-499,9.0 inch - 201-300,3.34,5.90,+77%
custom-soccer-patches,Embroidery,UPDATE,10.0 inch - 200-499,10.0 inch - 201-300,3.72,6.50,+75%
custom-soccer-patches,Embroidery,UPDATE,11.0 inch - 200-499,11.0 inch - 201-300,4.09,7.10,+74%
custom-soccer-patches,Embroidery,UPDATE,12.0 inch - 200-499,12.0 inch - 201-300,4.47,8.00,+79%
custom-soccer-patches,Embroidery,UPDATE,13.0 inch - 200-499,13.0 inch - 201-300,5.60,9.60,+71%
custom-soccer-patches,Embroidery,UPDATE,14.0 inch - 200-499,14.0 inch - 201-300,6.75,10.80,+60%
custom-soccer-patches,Embroidery,UPDATE,15.0 inch - 200-499,15.0 inch - 201-300,7.80,12.00,+54%
custom-soccer-patches,Embroidery,UPDATE,16.0 inch - 200-499,16.0 inch - 201-300,8.85,13.00,+47%
custom-soccer-patches,Embroidery,UPDATE,1.0 inch - 500-999,1.0 inch - 301-400,0.27,1.60,+493%
custom-soccer-patches,Embroidery,UPDATE,1.5 inch - 500-999,1.5 inch - 301-400,0.41,1.60,+290%
custom-soccer-patches,Embroidery,UPDATE,2.0 inch - 500-999,2.0 inch - 301-400,0.54,1.60,+196%
custom-soccer-patches,Embroidery,UPDATE,2.5 inch - 500-999,2.5 inch - 301-400,0.68,1.60,+135%
custom-soccer-patches,Embroidery,UPDATE,3.0 inch - 500-999,3.0 inch - 301-400,0.81,1.20,+48%
custom-soccer-patches,Embroidery,UPDATE,3.5 inch - 500-999,3.5 inch - 301-400,0.94,1.60,+70%
custom-soccer-patches,Embroidery,UPDATE,4.0 inch - 500-999,4.0 inch - 301-400,1.09,1.80,+65%
custom-soccer-patches,Embroidery,UPDATE,4.5 inch - 500-999,4.5 inch - 301-400,1.22,2.45,+101%
custom-soccer-patches,Embroidery,UPDATE,5.0 inch - 500-999,5.0 inch - 301-400,1.36,2.80,+106%
custom-soccer-patches,Embroidery,UPDATE,6.0 inch - 500-999,6.0 inch - 301-400,1.64,3.60,+120%
custom-soccer-patches,Embroidery,UPDATE,7.0 inch - 500-999,7.0 inch - 301-400,1.90,4.30,+126%
custom-soccer-patches,Embroidery,UPDATE,8.0 inch - 500-999,8.0 inch - 301-400,2.17,4.80,+121%
custom-soccer-patches,Embroidery,UPDATE,9.0 inch - 500-999,9.0 inch - 301-400,2.45,5.70,+133%
custom-soccer-patches,Embroidery,UPDATE,10.0 inch - 500-999,10.0 inch - 301-400,2.72,6.30,+132%
custom-soccer-patches,Embroidery,UPDATE,11.0 inch - 500-999,11.0 inch - 301-400,2.99,6.80,+127%
custom-soccer-patches,Embroidery,UPDATE,12.0 inch - 500-999,12.0 inch - 301-400,3.26,7.80,+139%
custom-soccer-patches,Embroidery,UPDATE,13.0 inch - 500-999,13.0 inch - 301-400,4.30,9.30,+116%
custom-soccer-patches,Embroidery,UPDATE,14.0 inch - 500-999,14.0 inch - 301-400,5.45,10.40,+91%
custom-soccer-patches,Embroidery,UPDATE,15.0 inch - 500-999,15.0 inch - 301-400,6.80,11.80,+74%
custom-soccer-patches,Embroidery,UPDATE,16.0 inch - 500-999,16.0 inch - 301-400,7.95,12.80,+61%
custom-soccer-patches,Embroidery,UPDATE,1.0 inch - 1000+,1.0 inch - 401-500,0.25,1.40,+460%
custom-soccer-patches,Embroidery,UPDATE,1.5 inch - 1000+,1.5 inch - 401-500,0.37,1.40,+278%
custom-soccer-patches,Embroidery,UPDATE,2.0 inch - 1000+,2.0 inch - 401-500,0.49,1.40,+186%
custom-soccer-patches,Embroidery,UPDATE,2.5 inch - 1000+,2.5 inch - 401-500,0.61,1.40,+130%
custom-soccer-patches,Embroidery,UPDATE,3.0 inch - 1000+,3.0 inch - 401-500,0.73,1.00,+37%
custom-soccer-patches,Embroidery,UPDATE,3.5 inch - 1000+,3.5 inch - 401-500,0.84,1.40,+67%
custom-soccer-patches,Embroidery,UPDATE,4.0 inch - 1000+,4.0 inch - 401-500,0.98,1.60,+63%
custom-soccer-patches,Embroidery,UPDATE,4.5 inch - 1000+,4.5 inch - 401-500,1.11,2.25,+103%
custom-soccer-patches,Embroidery,UPDATE,5.0 inch - 1000+,5.0 inch - 401-500,1.21,2.60,+115%
custom-soccer-patches,Embroidery,UPDATE,6.0 inch - 1000+,6.0 inch - 401-500,1.46,3.40,+133%
custom-soccer-patches,Embroidery,UPDATE,7.0 inch - 1000+,7.0 inch - 401-500,1.70,4.10,+141%
custom-soccer-patches,Embroidery,UPDATE,8.0 inch - 1000+,8.0 inch - 401-500,1.96,4.60,+135%
custom-soccer-patches,Embroidery,UPDATE,9.0 inch - 1000+,9.0 inch - 401-500,2.19,5.50,+151%
custom-soccer-patches,Embroidery,UPDATE,10.0 inch - 1000+,10.0 inch - 401-500,2.43,6.10,+151%
custom-soccer-patches,Embroidery,UPDATE,11.0 inch - 1000+,11.0 inch - 401-500,2.67,6.50,+143%
custom-soccer-patches,Embroidery,UPDATE,12.0 inch - 1000+,12.0 inch - 401-500,2.92,7.60,+160%
custom-soccer-patches,Embroidery,UPDATE,13.0 inch - 1000+,13.0 inch - 401-500,3.98,9.10,+129%
custom-soccer-patches,Embroidery,UPDATE,14.0 inch - 1000+,14.0 inch - 401-500,5.10,10.20,+100%
custom-soccer-patches,Embroidery,UPDATE,15.0 inch - 1000+,15.0 inch - 401-500,6.40,11.50,+80%
custom-soccer-patches,Embroidery,UPDATE,16.0 inch - 1000+,16.0 inch - 401-500,7.60,12.40,+63%
custom-soccer-patches,Embroidery,CREATE,,1.0 inch - 501-700,,1.20,new
custom-soccer-patches,Embroidery,CREATE,,1.5 inch - 501-700,,1.20,new
custom-soccer-patches,Embroidery,CREATE,,2.0 inch - 501-700,,1.20,new
custom-soccer-patches,Embroidery,CREATE,,2.5 inch - 501-700,,1.20,new
custom-soccer-patches,Embroidery,CREATE,,3.0 inch - 501-700,,0.81,new
custom-soccer-patches,Embroidery,CREATE,,3.5 inch - 501-700,,1.05,new
custom-soccer-patches,Embroidery,CREATE,,4.0 inch - 501-700,,1.30,new
custom-soccer-patches,Embroidery,CREATE,,4.5 inch - 501-700,,2.00,new
custom-soccer-patches,Embroidery,CREATE,,5.0 inch - 501-700,,2.40,new
custom-soccer-patches,Embroidery,CREATE,,6.0 inch - 501-700,,3.10,new
custom-soccer-patches,Embroidery,CREATE,,7.0 inch - 501-700,,4.00,new
custom-soccer-patches,Embroidery,CREATE,,8.0 inch - 501-700,,4.30,new
custom-soccer-patches,Embroidery,CREATE,,9.0 inch - 501-700,,5.20,new
custom-soccer-patches,Embroidery,CREATE,,10.0 inch - 501-700,,5.80,new
custom-soccer-patches,Embroidery,CREATE,,11.0 inch - 501-700,,6.20,new
custom-soccer-patches,Embroidery,CREATE,,12.0 inch - 501-700,,7.30,new
custom-soccer-patches,Embroidery,CREATE,,13.0 inch - 501-700,,8.50,new
custom-soccer-patches,Embroidery,CREATE,,14.0 inch - 501-700,,9.50,new
custom-soccer-patches,Embroidery,CREATE,,15.0 inch - 501-700,,10.80,new
custom-soccer-patches,Embroidery,CREATE,,16.0 inch - 501-700,,12.00,new
custom-soccer-patches,Embroidery,CREATE,,1.0 inch - 701+,,0.95,new
custom-soccer-patches,Embroidery,CREATE,,1.5 inch - 701+,,0.95,new
custom-soccer-patches,Embroidery,CREATE,,2.0 inch - 701+,,0.95,new
custom-soccer-patches,Embroidery,CREATE,,2.5 inch - 701+,,0.95,new
custom-soccer-patches,Embroidery,CREATE,,3.0 inch - 701+,,0.75,new
custom-soccer-patches,Embroidery,CREATE,,3.5 inch - 701+,,1.00,new
custom-soccer-patches,Embroidery,CREATE,,4.0 inch - 701+,,1.10,new
custom-soccer-patches,Embroidery,CREATE,,4.5 inch - 701+,,1.80,new
custom-soccer-patches,Embroidery,CREATE,,5.0 inch - 701+,,2.20,new
custom-soccer-patches,Embroidery,CREATE,,6.0 inch - 701+,,2.80,new
custom-soccer-patches,Embroidery,CREATE,,7.0 inch - 701+,,3.80,new
custom-soccer-patches,Embroidery,CREATE,,8.0 inch - 701+,,4.00,new
custom-soccer-patches,Embroidery,CREATE,,9.0 inch - 701+,,5.00,new
custom-soccer-patches,Embroidery,CREATE,,10.0 inch - 701+,,5.50,new
custom-soccer-patches,Embroidery,CREATE,,11.0 inch - 701+,,6.00,new
custom-soccer-patches,Embroidery,CREATE,,12.0 inch - 701+,,7.00,new
custom-soccer-patches,Embroidery,CREATE,,13.0 inch - 701+,,8.20,new
custom-soccer-patches,Embroidery,CREATE,,14.0 inch - 701+,,9.00,new
custom-soccer-patches,Embroidery,CREATE,,15.0 inch - 701+,,10.00,new
custom-soccer-patches,Embroidery,CREATE,,16.0 inch - 701+,,12.00,new
american-flag-patches,Embroidery,UPDATE,1.0 inch - 10,1.0 inch - 10-15,6.99,6.99,+0%
american-flag-patches,Embroidery,UPDATE,1.5 inch - 10,1.5 inch - 10-15,6.99,6.99,+0%
american-flag-patches,Embroidery,UPDATE,2.0 inch - 10,2.0 inch - 10-15,6.99,6.99,+0%
american-flag-patches,Embroidery,UPDATE,2.5 inch - 10,2.5 inch - 10-15,6.99,6.99,+0%
american-flag-patches,Embroidery,UPDATE,3.0 inch - 10,3.0 inch - 10-15,7.99,7.99,+0%
american-flag-patches,Embroidery,UPDATE,3.5 inch - 10,3.5 inch - 10-15,7.99,7.99,+0%
american-flag-patches,Embroidery,UPDATE,4.0 inch - 10,4.0 inch - 10-15,7.99,7.99,+0%
american-flag-patches,Embroidery,UPDATE,4.5 inch - 10,4.5 inch - 10-15,8.99,8.99,+0%
american-flag-patches,Embroidery,UPDATE,5.0 inch - 10,5.0 inch - 10-15,10.00,10.00,+0%
american-flag-patches,Embroidery,UPDATE,6.0 inch - 10,6.0 inch - 10-15,11.00,11.00,+0%
american-flag-patches,Embroidery,UPDATE,7.0 inch - 10,7.0 inch - 10-15,12.00,12.00,+0%
american-flag-patches,Embroidery,UPDATE,8.0 inch - 10,8.0 inch - 10-15,14.00,14.00,+0%
american-flag-patches,Embroidery,UPDATE,9.0 inch - 10,9.0 inch - 10-15,16.00,16.00,+0%
american-flag-patches,Embroidery,UPDATE,10.0 inch - 10,10.0 inch - 10-15,18.00,18.00,+0%
american-flag-patches,Embroidery,UPDATE,11.0 inch - 10,11.0 inch - 10-15,20.00,20.00,+0%
american-flag-patches,Embroidery,UPDATE,12.0 inch - 10,12.0 inch - 10-15,22.00,22.00,+0%
american-flag-patches,Embroidery,UPDATE,13.0 inch - 10,13.0 inch - 10-15,23.00,23.00,+0%
american-flag-patches,Embroidery,UPDATE,14.0 inch - 10,14.0 inch - 10-15,24.20,24.20,+0%
