Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
name-patches,Custom Embroidered Name Patches,"<div data-mce-fragment=""1"" class=""jss96""> <div data-mce-fragment=""1"" class=""MuiContainer-root MuiContainer-maxWidthXl""> <div data-mce-fragment=""1"" class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4""> <div data-mce-fragment=""1"" class=""MuiGrid-root jss102 MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6""> <div data-mce-fragment=""1"" class=""jss105""> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Enhance your work attire with custom name embroidered patches. <meta charset=""utf-8"">These name patches can be tailored with either a refined thin-stitched edge or a sturdy merrow border, making them ideal for adding a personalized touch to work gear.</span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">List out the names you'd like printed below.</span></p> </div> </div> </div> </div> </div>",Patch Kraze,Uncategorized,custom name,"Embroidered Patches, Patch Styles",true,Patch Width (inches),"4""",,,,,,,,'00840400507811,0.0,,0,deny,manual,3.05,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/name_10.jpg?v=1772722577,1,"",false,,,,lb,,,active
name-patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/name_3.jpg?v=1772722577,2,"",,,,,,,,
name-patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/name_4.jpg?v=1772722577,3,"",,,,,,,,
name-patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/name_6.jpg?v=1772722577,4,"",,,,,,,,
name-patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/name_7.jpg?v=1772722577,5,"",,,,,,,,
name-patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/name_8.jpg?v=1772722577,6,"",,,,,,,,
name-patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/name_9.jpg?v=1772722577,7,"",,,,,,,,
name-patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/name_1.jpg?v=1772722577,8,"",,,,,,,,
police-patches,Custom Police Patches,"<meta charset=""utf-8""> <div data-mce-fragment=""1"" class=""jss96""> <div data-mce-fragment=""1"" class=""MuiContainer-root MuiContainer-maxWidthXl""> <div data-mce-fragment=""1"" class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4""> <div data-mce-fragment=""1"" class=""MuiGrid-root jss102 MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6""> <div data-mce-fragment=""1"" class=""jss105""> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Enhance your apparel with custom police patches. <meta charset=""utf-8"">These police patches can be tailored with either a refined thin-stitched edge or a sturdy merrow border, making them ideal for adding a personalized touch to your attire.</span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text""><span data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><strong>Add a Premade Patch Sample to Cart - $0.01 -</strong> <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094727487&amp;quantity=1"" title=""Add to Cart""><strong>Add to Cart</strong></a></span></span></span></p> </div> </div> </div> </div> </div>",Patch Kraze,,embroidered,"Embroidered Patches, Patch Styles, patches, rush",true,Patch Width (inches),"2""",,,,,,,,'00840400508313,0.0,,0,deny,manual,3.79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/PolicePatch_2.jpg?v=1762185703,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/PolicePatch_2.jpg?v=1762185703,lb,,,active
police-patches,,,,,,,,,"2.5""",,,,,,,,'00840400506630,0.0,,0,deny,manual,4.09,,true,true,,,,,,,,,,,,,lb,,,
police-patches,,,,,,,,,"3""",,,,,,,,'00840400508382,0.0,,0,deny,manual,4.38,,true,true,,,,,,,,,,,,,lb,,,
police-patches,,,,,,,,,"3.5""",,,,,,,,'00840400507644,0.0,,0,deny,manual,5.26,,true,true,,,,,,,,,,,,,lb,,,
police-patches,,,,,,,,,"4""",,,,,,,,'00840400508184,0.0,,0,deny,manual,5.86,,true,true,,,,,,,,,,,,,lb,,,
navy-patches,Custom Navy Patches,"<meta charset=""utf-8""> <div data-mce-fragment=""1"" class=""jss96""> <div data-mce-fragment=""1"" class=""MuiContainer-root MuiContainer-maxWidthXl""> <div data-mce-fragment=""1"" class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4""> <div data-mce-fragment=""1"" class=""MuiGrid-root jss102 MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6""> <div data-mce-fragment=""1"" class=""jss105""> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Enhance your apparel with custom Navy patches. <meta charset=""utf-8"">These Navy patches can be tailored with either a refined thin-stitched edge or a sturdy merrow border, making them ideal for adding a personalized touch to your attire.</span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text""><span data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><strong>Add a Premade Patch Sample to Cart - $0.01 -</strong> <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094727487&amp;quantity=1"" title=""Add to Cart""><strong>Add to Cart</strong></a></span></span></span></p> </div> </div> </div> </div> </div>",Patch Kraze,,embroidered,"Embroidered Patches, Patch Styles, patches, rush",true,Patch Width (inches),"2""",,,,,,,,'00840400507576,0.0,,0,deny,manual,3.79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/MilitaryPatch_1_09c51512-a334-4194-9f8c-d3e49876e8b5.jpg?v=1762185704,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/MilitaryPatch_1_09c51512-a334-4194-9f8c-d3e49876e8b5.jpg?v=1762185704,lb,,,active
navy-patches,,,,,,,,,"2.5""",,,,,,,,'00840400507316,0.0,,0,deny,manual,4.09,,true,true,,,,,,,,,,,,,lb,,,
navy-patches,,,,,,,,,"3""",,,,,,,,'00840400507958,0.0,,0,deny,manual,4.38,,true,true,,,,,,,,,,,,,lb,,,
