Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #31-35 - 25-49,STICKER-31-35-25-49,0,shopify,100,deny,manual,1.26,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #31-35 - 50-99,STICKER-31-35-50-99,0,shopify,100,deny,manual,0.74,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #31-35 - 100-249,STICKER-31-35-100-249,0,shopify,100,deny,manual,0.49,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #31-35 - 250-499,STICKER-31-35-250-499,0,shopify,100,deny,manual,0.37,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #31-35 - 500+,STICKER-31-35-500plus,0,shopify,100,deny,manual,0.25,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #36-40 - 25-49,STICKER-36-40-25-49,0,shopify,100,deny,manual,1.34,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #36-40 - 50-99,STICKER-36-40-50-99,0,shopify,100,deny,manual,0.79,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #36-40 - 100-249,STICKER-36-40-100-249,0,shopify,100,deny,manual,0.52,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #36-40 - 250-499,STICKER-36-40-250-499,0,shopify,100,deny,manual,0.39,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #36-40 - 500+,STICKER-36-40-500plus,0,shopify,100,deny,manual,0.27,,TRUE,TRUE,,,,,,,,,lb
